# Swift-BAT daily average light curve for Crab                          
# Generated Fri Aug 24 11:36:02 UTC 2018
#
#     TIME           RATE          ERROR      YEAR          DAY     STAT_ERR        SYS_ERR   DATA_FLAG   TIMEDEL_EXPO     TIMEDEL_CODED  TIMEDEL_DITHERED
#       d        count/cm^2/s   count/cm^2/s   yr            d    count/cm^2/s   count/cm^2/s                s              s              s
      53600       0.23077908     0.00812947   2005         230     0.00074784     0.00807727      0   20600.00000000 11906.49121380   256.00000000
      53601       0.22970837     0.00807703   2005         231     0.00062985     0.00803979      0   12920.00000000  7676.40625000     0.00000000
      53602       0.23545397     0.00828001   2005         232     0.00065364     0.00824089      0   16400.00000000  8209.93750000   192.00000000
      53603       0.22995727     0.00807524   2005         233     0.00053377     0.00804850      0   10216.00000000  8636.81250000     0.00000000
      53604       0.23526190     0.00897867   2005         234     0.00291040     0.00823417      0    2272.00000000   521.81250000     0.00000000
      53605       0.23543083     0.00831577   2005         235     0.00091009     0.00824008      0    5720.00000000  4626.68750000   128.00000000
      53606       0.23405714     0.00845872   2005         236     0.00171332     0.00819200      0    4088.00000000  1613.40625000    64.00000000
      53607       0.22720099     0.00815083   2005         237     0.00145463     0.00795203      0    2248.00000000  1835.50000000    64.00000000
      53608       0.23222591     0.00815759   2005         238     0.00056530     0.00812791      0   26968.00000000 24248.12500000     0.00000000
      53609       0.23457582     0.00823816   2005         239     0.00055176     0.00821015      0   33120.00000000 29508.12500000     0.00000000
      53610       0.22710521     0.00798723   2005         240     0.00063725     0.00794868      0   24192.00000000 18748.75000000     0.00000000
      53611       0.22915165     0.00804848   2005         241     0.00054706     0.00802031      0   34296.00000000 26744.31250000     0.00000000
      53612       0.22946434     0.00808683   2005         242     0.00076948     0.00803125      0   13824.00000000  9697.87500000   464.00000000
      53613       0.22911149     0.00811854   2005         243     0.00103092     0.00801890      0   20768.00000000 11808.74217701     0.00000000
      53614       0.22190567     0.00795019   2005         244     0.00138066     0.00776670      0   11072.00000000  7658.87107539  1512.00000000
      53615       0.22541420     0.00794251   2005         245     0.00074485     0.00788950      0   19280.00000000 15062.50000000 19280.00000000
      53616       0.22436956     0.00793740   2005         246     0.00093892     0.00785293      0   16224.00000000 12034.62500000 14720.00000000
      53617       0.22464098     0.00795198   2005         247     0.00096747     0.00786243      0    5816.00000000  4530.43750000     0.00000000
      53618       0.22246040     0.00784613   2005         248     0.00078747     0.00778611      0   11872.00000000  8089.12500000     0.00000000
      53619       0.22342407     0.00790038   2005         249     0.00091482     0.00781984      0   13600.00000000  7123.70312500     0.00000000
      53620       0.23755174     0.00854758   2005         250     0.00161242     0.00831431      0    8296.00000000  2311.21875000   736.00000000
      53621       0.23084516     0.00831242   2005         251     0.00158831     0.00807958      0    6744.00000000  1861.84375000     0.00000000
      53622       0.22470530     0.00823570   2005         252     0.00198706     0.00786469      0    3440.00000000  1251.78125000     0.00000000
      53623       0.24059348     0.00886212   2005         253     0.00224541     0.00842077      0    7960.00000000  1244.84375000   768.00000000
      53624       0.24167780     0.00960222   2005         254     0.00369474     0.00845872      0    3408.00000000   545.09179878     0.00000000
      53625       0.23080242     0.00956371   2005         255     0.00416217     0.00807808      0    1656.00000000   263.48437500     0.00000000
      53627       0.24697112     0.00886118   2005         257     0.00158525     0.00864399      0    4800.00000000  1711.93750000   752.00000000
      53628       0.23896581     0.00853269   2005         258     0.00137336     0.00836380      0   11768.00000000  3168.59375000     0.00000000
      53629       0.24727300     0.00883238   2005         259     0.00143365     0.00865456      0   13256.00000000  2956.48046875 13256.00000000
      53630       0.25381579     0.01029754   2005         260     0.00423403     0.00888355      0    1600.00000000   345.37500000  1600.00000000
      53631       0.23466076     0.00832391   2005         261     0.00110041     0.00821313      0    7448.00000000  3208.18750000  4072.00000000
      53632       0.24559155     0.00907419   2005         262     0.00236399     0.00859570      0    5392.00000000  1085.80826449  5392.00000000
      53633       0.24469860     0.00894201   2005         263     0.00209018     0.00856445      0    6912.00000000  1321.40625000  6912.00000000
      53634       0.24223916     0.00991959   2005         264     0.00418644     0.00847837      0    1176.00000000   358.28125000  1176.00000000
      53635       0.24175168     0.00938877   2005         265     0.00330798     0.00846131      0    1088.00000000   437.25000000  1088.00000000
      53636       0.23042979     0.00829232   2005         266     0.00156758     0.00806504      0    3784.00000000  1407.34375000  3784.00000000
      53637       0.22838766     0.00817819   2005         267     0.00140479     0.00799357      0    4296.00000000  1693.68750000  4296.00000000
      53638       0.22762179     0.00840100   2005         268     0.00216746     0.00796676      0    1920.00000000   816.25000000  1920.00000000
      53641       0.23458602     0.00868664   2005         271     0.00230603     0.00821051      0    1384.00000000   744.75000000  1384.00000000
      53642       0.23542286     0.00840876   2005         272     0.00136357     0.00823980      0    3256.00000000  1921.56250000  3256.00000000
      53643       0.23075716     0.00833525   2005         273     0.00167538     0.00807650      0    1968.00000000  1214.62500000  1968.00000000
      53646       0.23339687     0.00828370   2005         276     0.00111739     0.00816889      0    9896.00000000  2728.75000000  9896.00000000
      53647       0.24941880     0.01742608   2005         277     0.01226164     0.00872966      0     256.00000000    70.25000000   256.00000000
      53648       0.22877741     0.00811284   2005         278     0.00106089     0.00800721      0    6736.00000000  4061.65625000  6736.00000000
      53649       0.23445182     0.00831120   2005         279     0.00107266     0.00820581      0    7656.00000000  3825.31250000  2816.00000000
      53650       0.23343911     0.00822063   2005         280     0.00073792     0.00817037      0   32024.00000000 12664.90625000     0.00000000
      53651       0.23363763     0.00827773   2005         281     0.00104508     0.00817732      0   13824.00000000  5671.87500000 13824.00000000
      53652       0.22489992     0.00893750   2005         282     0.00344148     0.00787150      0    1256.00000000   563.62500000  1256.00000000
      53653       0.22985132     0.00818222   2005         283     0.00121407     0.00804480      0    6944.00000000  3387.31250000  6944.00000000
      53654       0.22679342     0.00818809   2005         284     0.00163343     0.00793777      0    4392.00000000  1464.31250000  4392.00000000
      53655       0.22435518     0.00811674   2005         285     0.00167030     0.00785243      0    3616.00000000  1209.43750000  3616.00000000
      53656       0.22402843     0.00822275   2005         286     0.00201330     0.00784099      0    2416.00000000   808.81250000  2416.00000000
      53657       0.23830037     0.00891492   2005         287     0.00255958     0.00834051      0    2960.00000000  1125.71875000  2960.00000000
      53658       0.23324312     0.00825523   2005         288     0.00099771     0.00816351      0   10512.00000000  6564.40625000 10512.00000000
      53659       0.23283359     0.00863696   2005         289     0.00232640     0.00814918      0    1616.00000000  1180.06250000  1616.00000000
      53660       0.23396150     0.00909853   2005         290     0.00322440     0.00818865      0     704.00000000   491.00000000   704.00000000
      53663       0.24239023     0.00955909   2005         293     0.00358127     0.00848366      0    1032.00000000   588.56250000  1032.00000000
      53664       0.23327472     0.00829167   2005         294     0.00117558     0.00816462      0    7120.00000000  4185.50000000  7120.00000000
      53665       0.23364394     0.00853577   2005         295     0.00198935     0.00817754      0    3032.00000000  1752.87500000  3032.00000000
      53668       0.25373535     0.01513586   2005         298     0.00996479     0.00888074      0     624.00000000   103.59375000   624.00000000
      53670       0.25632721     0.01728412   2005         300     0.01201091     0.00897145      0     768.00000000    85.50000000   768.00000000
      53672       0.25183659     0.00941681   2005         302     0.00269457     0.00881428      0   14248.00000000  2002.06939447 14248.00000000
      53673       0.25867087     0.00979157   2005         303     0.00303212     0.00905348      0   11992.00000000  1797.18740642 11992.00000000
      53676       0.25573607     0.01032862   2005         306     0.00419028     0.00895076      0    6376.00000000   810.56593084  6376.00000000
      53678       0.22738840     0.00807421   2005         308     0.00110689     0.00795859      0   15624.00000000  5104.03125000 15624.00000000
      53679       0.22695128     0.00807327   2005         309     0.00117304     0.00794329      0   15872.00000000  5170.43750000 15872.00000000
      53680       0.23144050     0.00831856   2005         310     0.00153864     0.00810042      0    8872.00000000  2879.78125000  8872.00000000
      53684       0.21828587     0.00770989   2005         314     0.00084204     0.00764001      0    9840.00000000  6724.43750000  4792.00000000
      53685       0.22694540     0.00823895   2005         315     0.00177890     0.00794309      0    2720.00000000  1099.50000000     0.00000000
      53686       0.21408035     0.00754473   2005         316     0.00071837     0.00749281      0   11520.00000000 11541.12500000 10112.00000000
      53687       0.21898016     0.00781034   2005         317     0.00122219     0.00766431      0    3128.00000000  3150.50000000   320.00000000
      53688       0.22045664     0.00782477   2005         318     0.00105711     0.00771598      0    4888.00000000  4964.37500000  3000.00000000
      53689       0.21935732     0.00771507   2005         319     0.00061817     0.00767751      0   13000.00000000 12971.56250000  5584.00000000
      53690       0.20151058     0.01484517   2005         320     0.01062014     0.00705287      0     256.00000000    61.75000000   256.00000000
      53691       0.24062946     0.00893231   2005         321     0.00241937     0.00842203      0    8672.00000000  1648.38281250  1216.00000000
      53692       0.23902658     0.00866067   2005         322     0.00182130     0.00836593      0   17136.00000000  3147.42187500 17136.00000000
      53693       0.24216094     0.00890844   2005         323     0.00223005     0.00847563      0   13648.00000000  2282.68750000 13648.00000000
      53694       0.23899678     0.00903506   2005         324     0.00277628     0.00836489      0    7512.00000000  1290.37989330  7512.00000000
      53695       0.24857696     0.00940885   2005         325     0.00291247     0.00870019      0    7600.00000000  1132.07812500  7600.00000000
      53696       0.23638490     0.01500803   2005         326     0.01018016     0.00827347      0     192.00000000    48.00000000   192.00000000
      53697       0.21433611     0.01074043   2005         327     0.00624909     0.00750176      0     512.00000000   140.25000000   512.00000000
      53699       0.22778503     0.00872808   2005         329     0.00288807     0.00797248      0    3728.00000000   866.75000000  3728.00000000
      53700       0.23323867     0.00918009   2005         330     0.00341402     0.00816335      0    2376.00000000   551.20312500  2376.00000000
      53701       0.23174967     0.00874570   2005         331     0.00265880     0.00811124      0    4688.00000000  1238.90625000     0.00000000
      53704       0.22548708     0.00829143   2005         334     0.00206693     0.00789205      0    8920.00000000  1498.79687500  8920.00000000
      53705       0.23021604     0.00819203   2005         335     0.00120180     0.00805756      0   10368.00000000  4304.40625000 10368.00000000
      53706       0.22401414     0.01053878   2005         336     0.00572536     0.00784050      0     928.00000000   155.87500000   928.00000000
      53709       0.22205410     0.00780195   2005         339     0.00055625     0.00777189      0   28224.00000000 27783.00000000     0.00000000
      53710       0.22366426     0.00785565   2005         340     0.00053296     0.00782825      0   24088.00000000 23711.62500000     0.00000000
      53711       0.22480524     0.00790175   2005         341     0.00059155     0.00786818      0   23840.00000000 23467.50000000     0.00000000
      53713       0.23149064     0.00845131   2005         343     0.00195451     0.00810217      0    5408.00000000  1655.04687500  5408.00000000
      53715       0.22499178     0.00796265   2005         345     0.00095943     0.00787471      0    7352.00000000  4882.18750000     0.00000000
      53717       0.22534739     0.00826292   2005         347     0.00200281     0.00788716      0    1280.00000000   970.50000000  1280.00000000
      53719       0.22571840     0.00825894   2005         349     0.00195760     0.00790014      0    2120.00000000  1324.18750000  2120.00000000
      53720       0.22548458     0.00804287   2005         350     0.00126075     0.00789196      0    4192.00000000  2568.00000000  4192.00000000
      53721       0.23631303     0.00913890   2005         351     0.00316037     0.00827096      0    2232.00000000   589.93750000  2232.00000000
      53722       0.22187402     0.00808668   2005         352     0.00183424     0.00776559      0    1224.00000000   999.25000000  1224.00000000
      53723       0.22432096     0.00803136   2005         353     0.00137512     0.00785123      0    2320.00000000  1857.87500000  2320.00000000
      53724       0.21838745     0.00786677   2005         354     0.00151275     0.00764356      0    2784.00000000  1602.18750000  1128.00000000
      53725       0.22572442     0.00822722   2005         355     0.00186664     0.00790035      0    3392.00000000  1457.00000000  3392.00000000
      53727       0.22836847     0.00857522   2005         357     0.00252531     0.00799290      0     816.00000000   516.37500000   816.00000000
      53728       0.21710306     0.01082891   2005         358     0.00627264     0.00759861      0     608.00000000   131.81250000   608.00000000
      53730       0.22707250     0.00862905   2005         360     0.00273262     0.00794754      0    1672.00000000  1345.43750000     0.00000000
      53731       0.22889761     0.00806605   2005         361     0.00076197     0.00801142      0   12544.00000000 10094.00000000     0.00000000
      53733       0.23462953     0.00847178   2005         363     0.00169246     0.00821203      0   18920.00000000  3029.45312500 18600.00000000
      53734       0.23737594     0.00851841   2005         364     0.00152919     0.00830816      0   22616.00000000  3599.09375048 22616.00000000
      53735       0.23890467     0.00857506   2005         365     0.00154563     0.00836166      0   19632.00000000  3340.06444669 19632.00000000
      53737       0.23161364     0.00820738   2006           2     0.00104311     0.00810648      0   19952.00000000  5680.14062500 19952.00000000
      53738       0.22974851     0.00817820   2006           3     0.00121194     0.00804120      0   17808.00000000  4731.10155511 17808.00000000
      53739       0.23857032     0.00878322   2006           4     0.00221507     0.00834996      0    6656.00000000  1543.55468750  6656.00000000
      53740       0.23149713     0.00822966   2006           5     0.00117210     0.00810240      0   14032.00000000  4864.95312500 14032.00000000
      53741       0.23362253     0.00867951   2006           6     0.00236667     0.00817679      0    6968.00000000  1417.69433784  5384.00000000
      53742       0.22862169     0.00805494   2006           7     0.00075131     0.00800176      0   17744.00000000  9883.90625000 17744.00000000
      53743       0.22954785     0.00808954   2006           8     0.00076813     0.00803417      0   13296.00000000  9196.40234375 13296.00000000
      53744       0.22724152     0.00822290   2006           9     0.00169736     0.00795345      0    2440.00000000  1695.12500000  2440.00000000
      53745       0.23264448     0.00854620   2006          10     0.00211010     0.00814256      0     896.00000000   840.00000000   896.00000000
      53747       0.23107973     0.00884456   2006          12     0.00291029     0.00808779      0    3104.00000000   694.09375000  3104.00000000
      53748       0.22298582     0.00786159   2006          13     0.00076884     0.00780450      0   11400.00000000 10420.31250000     0.00000000
      53749       0.22047193     0.00776285   2006          14     0.00068849     0.00771652      0   15968.00000000 14619.43750000 15968.00000000
      53750       0.22495477     0.00789891   2006          15     0.00051555     0.00787342      0   25960.00000000 18748.68358874 18056.00000000
      53751       0.23412659     0.00823932   2006          16     0.00069829     0.00819443      0   27600.00000000 15560.20368528  1176.00000000
      53752       0.22680021     0.00799457   2006          17     0.00077181     0.00793801      0   15528.00000000  8643.09375000 14760.00000000
      53753       0.22633965     0.00797084   2006          18     0.00071710     0.00792189      0   26056.00000000 14271.25000000 26056.00000000
      53754       0.22766900     0.00801036   2006          19     0.00066562     0.00796842      0   25856.00000000 14981.37500000 25856.00000000
      53755       0.22613526     0.00795655   2006          20     0.00066233     0.00791473      0   23720.00000000 13547.71875000 23720.00000000
      53756       0.22842115     0.00805213   2006          21     0.00078020     0.00799474      0   17208.00000000 12332.18750000 17208.00000000
      53757       0.23360434     0.00823480   2006          22     0.00079759     0.00817615      0   32984.00000000 13696.43876958 18928.00000000
      53758       0.22839579     0.00807543   2006          23     0.00093085     0.00799385      0   25536.00000000 11403.71492076 16184.00000000
      53759       0.22703496     0.00805192   2006          24     0.00105719     0.00794622      0    9336.00000000  4970.03320312  9336.00000000
      53760       0.24004157     0.00903691   2006          25     0.00270638     0.00840146      0   10624.00000000  1450.57994735 10624.00000000
